File Name,Category,Marker #,Property Type,Data Key,Text needing improvement,Raw object path
"teleport_pads.ts","Teleport Pads","#12","Name","teleporter_Gorge_Vista_x-499_y-1153","Todo: better name for ancient teleporter Gorge_Vista Ancient Teleporter","teleporter_Gorge_Vista_x-499_y-1153.name"
"teleport_pads.ts","Teleport Pads","#12","Description","teleporter_Gorge_Vista_x-499_y-1153","Todo: insert a description for this teleporter x-499_y-1153","teleporter_Gorge_Vista_x-499_y-1153.description"
"teleport_pads.ts","Teleport Pads","#13","Name","teleporter_Gorge_x-463_y-206","Todo: better name for ancient teleporter Gorge Ancient Teleporter","teleporter_Gorge_x-463_y-206.name"
"teleport_pads.ts","Teleport Pads","#13","Description","teleporter_Gorge_x-463_y-206","Todo: insert a description for this teleporter x-463_y-206","teleporter_Gorge_x-463_y-206.description"
"teleport_pads.ts","Teleport Pads","#17","Name","teleporter_LabStrandEntranceDESIGN_x1154_y1953","Todo: better name for ancient teleporter LabStrandEntranceDESIGN Ancient Teleporter","teleporter_LabStrandEntranceDESIGN_x1154_y1953.name"
"teleport_pads.ts","Teleport Pads","#17","Description","teleporter_LabStrandEntranceDESIGN_x1154_y1953","Todo: insert a description for this teleporter x1154_y1953","teleporter_LabStrandEntranceDESIGN_x1154_y1953.description"
"teleport_pads.ts","Teleport Pads","#18","Name","teleporter_LabStrandEntranceMain_B_x1132_y994","Todo: better name for ancient teleporter LabStrandEntranceMain_B Ancient Teleporter","teleporter_LabStrandEntranceMain_B_x1132_y994.name"
"teleport_pads.ts","Teleport Pads","#18","Description","teleporter_LabStrandEntranceMain_B_x1132_y994","Todo: insert a description for this teleporter x1132_y994","teleporter_LabStrandEntranceMain_B_x1132_y994.description"
"teleport_pads.ts","Teleport Pads","#19","Name","teleporter_LabyrinthCorePath_x408_y1465","Todo: better name for ancient teleporter LabyrinthCorePath Ancient Teleporter","teleporter_LabyrinthCorePath_x408_y1465.name"
"teleport_pads.ts","Teleport Pads","#19","Description","teleporter_LabyrinthCorePath_x408_y1465","Todo: insert a description for this teleporter x408_y1465","teleporter_LabyrinthCorePath_x408_y1465.description"
"teleport_pads.ts","Teleport Pads","#20","Name","teleporter_LabyrinthHub_B_x950_y1449","Todo: better name for ancient teleporter LabyrinthHub_B Ancient Teleporter","teleporter_LabyrinthHub_B_x950_y1449.name"
"teleport_pads.ts","Teleport Pads","#20","Description","teleporter_LabyrinthHub_B_x950_y1449","Todo: insert a description for this teleporter x950_y1449","teleporter_LabyrinthHub_B_x950_y1449.description"
"teleport_pads.ts","Teleport Pads","#21","Name","teleporter_LabyrinthHub_C_x160_y2247","Todo: better name for ancient teleporter LabyrinthHub_C Ancient Teleporter","teleporter_LabyrinthHub_C_x160_y2247.name"
"teleport_pads.ts","Teleport Pads","#21","Description","teleporter_LabyrinthHub_C_x160_y2247","Todo: insert a description for this teleporter x160_y2247","teleporter_LabyrinthHub_C_x160_y2247.description"
"teleport_pads.ts","Teleport Pads","#22","Name","teleporter_LabyrinthHub_x384_y917","Todo: better name for ancient teleporter LabyrinthHub Ancient Teleporter","teleporter_LabyrinthHub_x384_y917.name"
"teleport_pads.ts","Teleport Pads","#22","Description","teleporter_LabyrinthHub_x384_y917","Todo: insert a description for this teleporter x384_y917","teleporter_LabyrinthHub_x384_y917.description"
"teleport_pads.ts","Teleport Pads","#23","Name","teleporter_LabyrinthWeather_x770_y1874","Todo: better name for ancient teleporter LabyrinthWeather Ancient Teleporter","teleporter_LabyrinthWeather_x770_y1874.name"
"teleport_pads.ts","Teleport Pads","#23","Description","teleporter_LabyrinthWeather_x770_y1874","Todo: insert a description for this teleporter x770_y1874","teleporter_LabyrinthWeather_x770_y1874.description"
"teleport_pads.ts","Teleport Pads","#26","Name","teleporter_StrandNavigation_x530_y336","Todo: better name for ancient teleporter StrandNavigation Ancient Teleporter","teleporter_StrandNavigation_x530_y336.name"
"teleport_pads.ts","Teleport Pads","#26","Description","teleporter_StrandNavigation_x530_y336","Todo: insert a description for this teleporter x530_y336","teleporter_StrandNavigation_x530_y336.description"
"teleport_pads.ts","Teleport Pads","#24","Name","teleporter_Strand_Vista_x875_y222","Todo: better name for ancient teleporter Strand_Vista Ancient Teleporter","teleporter_Strand_Vista_x875_y222.name"
"teleport_pads.ts","Teleport Pads","#24","Description","teleporter_Strand_Vista_x875_y222","Todo: insert a description for this teleporter x875_y222","teleporter_Strand_Vista_x875_y222.description"
"teleport_pads.ts","Teleport Pads","#25","Name","teleporter_Strand_x121_y-7","Todo: better name for ancient teleporter Strand Ancient Teleporter","teleporter_Strand_x121_y-7.name"
"teleport_pads.ts","Teleport Pads","#25","Description","teleporter_Strand_x121_y-7","Todo: insert a description for this teleporter x121_y-7","teleporter_Strand_x121_y-7.description"
"teleport_lines.ts","Teleport Lines","#27","Name","line_Conservatory_Arboretum_Gorge","Todo: insert a name for this teleporter line line_Conservatory_Arboretum_Gorge","line_Conservatory_Arboretum_Gorge.name"
"teleport_lines.ts","Teleport Lines","#28","Name","line_GorgeGateTransfer_BluffsNavigation","Todo: insert a name for this teleporter line line_GorgeGateTransfer_BluffsNavigation","line_GorgeGateTransfer_BluffsNavigation.name"
"teleport_lines.ts","Teleport Lines","#29","Name","line_GorgeNavigation_Bluffs","Todo: insert a name for this teleporter line line_GorgeNavigation_Bluffs","line_GorgeNavigation_Bluffs.name"
"teleport_lines.ts","Teleport Lines","#30","Name","line_GorgeNavigation_Conservatory_Digsite","Todo: insert a name for this teleporter line line_GorgeNavigation_Conservatory_Digsite","line_GorgeNavigation_Conservatory_Digsite.name"
"teleport_lines.ts","Teleport Lines","#31","Name","line_LabyrinthCorePath_LabyrinthHub_C","Todo: insert a name for this teleporter line line_LabyrinthCorePath_LabyrinthHub_C","line_LabyrinthCorePath_LabyrinthHub_C.name"
"teleport_lines.ts","Teleport Lines","#32","Name","line_LabyrinthHub_LabyrinthWeather","Todo: insert a name for this teleporter line line_LabyrinthHub_LabyrinthWeather","line_LabyrinthHub_LabyrinthWeather.name"
"teleport_lines.ts","Teleport Lines","#34","Name","line_StrandNavigation_Conservatory_Digsite","Todo: insert a name for this teleporter line line_StrandNavigation_Conservatory_Digsite","line_StrandNavigation_Conservatory_Digsite.name"
"teleport_lines.ts","Teleport Lines","#33","Name","line_Strand_Conservatory_Arboretum","Todo: insert a name for this teleporter line line_Strand_Conservatory_Arboretum","line_Strand_Conservatory_Arboretum.name"
"stabilizing_gates.ts","Stabilizing Gates","#35","Description","stabilizinggate_stabilizinggate0148392974","Todo: insert a description for this stabilizing gate stabilizinggate0148392974","stabilizinggate_stabilizinggate0148392974.description"
"stabilizing_gates.ts","Stabilizing Gates","#36","Description","stabilizinggate_stabilizinggate1172010955","Todo: insert a description for this stabilizing gate stabilizinggate1172010955","stabilizinggate_stabilizinggate1172010955.description"
"shadow_doors.ts","Shadow Doors","#37","Description","shadowdoor_plortdepo0848528777","Todo: insert a description for this shadow door plortdepo0848528777","shadowdoor_plortdepo0848528777.description"
"shadow_doors.ts","Shadow Doors","#37","Unlocks","shadowdoor_plortdepo0848528777","Todo: Specify unlocks of this shadow door","shadowdoor_plortdepo0848528777.unlocks.0"
"shadow_doors.ts","Shadow Doors","#38","Description","shadowdoor_plortdepo0888553246","Todo: insert a description for this shadow door plortdepo0888553246","shadowdoor_plortdepo0888553246.description"
"shadow_doors.ts","Shadow Doors","#38","Unlocks","shadowdoor_plortdepo0888553246","Todo: Specify unlocks of this shadow door","shadowdoor_plortdepo0888553246.unlocks.0"
"shadow_doors.ts","Shadow Doors","#39","Description","shadowdoor_plortdepo0983262903","Todo: insert a description for this shadow door plortdepo0983262903","shadowdoor_plortdepo0983262903.description"
"shadow_doors.ts","Shadow Doors","#39","Unlocks","shadowdoor_plortdepo0983262903","Todo: Specify unlocks of this shadow door","shadowdoor_plortdepo0983262903.unlocks.0"
"shadow_doors.ts","Shadow Doors","#40","Description","shadowdoor_plortdepo1514039874","Todo: insert a description for this shadow door plortdepo1514039874","shadowdoor_plortdepo1514039874.description"
"shadow_doors.ts","Shadow Doors","#40","Unlocks","shadowdoor_plortdepo1514039874","Todo: Specify unlocks of this shadow door","shadowdoor_plortdepo1514039874.unlocks.0"
"shadow_doors.ts","Shadow Doors","#41","Description","shadowdoor_plortdepo1585516932","Todo: insert a description for this shadow door plortdepo1585516932","shadowdoor_plortdepo1585516932.description"
"shadow_doors.ts","Shadow Doors","#41","Unlocks","shadowdoor_plortdepo1585516932","Todo: Specify unlocks of this shadow door","shadowdoor_plortdepo1585516932.unlocks.0"
"shadow_doors.ts","Shadow Doors","#42","Description","shadowdoor_plortdepo1639552273","Todo: insert a description for this shadow door plortdepo1639552273","shadowdoor_plortdepo1639552273.description"
"shadow_doors.ts","Shadow Doors","#42","Unlocks","shadowdoor_plortdepo1639552273","Todo: Specify unlocks of this shadow door","shadowdoor_plortdepo1639552273.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#43 S","Description","projectorpuzzle_dreamland_entrance_geyser_puzzle","Todo: insert a description for this projector puzzle beam Start point startPoint_x1014_y1216_h91","projectorpuzzle_dreamland_entrance_geyser_puzzle.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#43 E","Description","projectorpuzzle_dreamland_entrance_geyser_puzzle","Todo: insert a description for this projector puzzle beam End point endPoint_x989_y1235_h91","projectorpuzzle_dreamland_entrance_geyser_puzzle.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#44 S","Description","projectorpuzzle_dreamland_entrance_wall_tower_puzzle","Todo: insert a description for this projector puzzle beam Start point startPoint_x947_y1249_h140","projectorpuzzle_dreamland_entrance_wall_tower_puzzle.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#44 E","Description","projectorpuzzle_dreamland_entrance_wall_tower_puzzle","Todo: insert a description for this projector puzzle beam End point endPoint_x925_y1282_h128","projectorpuzzle_dreamland_entrance_wall_tower_puzzle.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#45","Unlocks","projectorpuzzle_dreamland_pergola_room","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_dreamland_pergola_room.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#45 S","Description","projectorpuzzle_dreamland_pergola_room","Todo: insert a description for this projector puzzle beam Start point startPoint_x707_y1069_h134","projectorpuzzle_dreamland_pergola_room.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#45 E","Description","projectorpuzzle_dreamland_pergola_room","Todo: insert a description for this projector puzzle beam End point endPoint_x735_y1098_h134","projectorpuzzle_dreamland_pergola_room.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#46","Unlocks","projectorpuzzle_dreamland_wall_door_1","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_dreamland_wall_door_1.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#46 S","Description","projectorpuzzle_dreamland_wall_door_1","Todo: insert a description for this projector puzzle beam Start point startPoint_x842_y1078_h135","projectorpuzzle_dreamland_wall_door_1.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#46 E","Description","projectorpuzzle_dreamland_wall_door_1","Todo: insert a description for this projector puzzle beam End point endPoint_x853_y1044_h135","projectorpuzzle_dreamland_wall_door_1.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#47","Unlocks","projectorpuzzle_dreamland_wall_door_2","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_dreamland_wall_door_2.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#47 S","Description","projectorpuzzle_dreamland_wall_door_2","Todo: insert a description for this projector puzzle beam Start point startPoint_x896_y1065_h135","projectorpuzzle_dreamland_wall_door_2.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#47 E","Description","projectorpuzzle_dreamland_wall_door_2","Todo: insert a description for this projector puzzle beam End point endPoint_x884_y1071_h135","projectorpuzzle_dreamland_wall_door_2.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#48 S","Description","projectorpuzzle_dreamland_windmill_hill","Todo: insert a description for this projector puzzle beam Start point startPoint_x468_y807_h180","projectorpuzzle_dreamland_windmill_hill.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#48 E","Description","projectorpuzzle_dreamland_windmill_hill","Todo: insert a description for this projector puzzle beam End point endPoint_x432_y763_h186","projectorpuzzle_dreamland_windmill_hill.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#49","Unlocks","projectorpuzzle_hub_puzzle_tower","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_hub_puzzle_tower.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#49","Description","projectorpuzzle_hub_puzzle_tower","Todo: describe this beam point. Also used for the terrarium entry puzzle, lowers upon completion.","projectorpuzzle_hub_puzzle_tower.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#50","Unlocks","projectorpuzzle_terrarium_center_to_east","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_terrarium_center_to_east.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#50 S","Description","projectorpuzzle_terrarium_center_to_east","Todo: insert a description for this projector puzzle beam Start point startPoint_x793_y1969_h138","projectorpuzzle_terrarium_center_to_east.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#50 E","Description","projectorpuzzle_terrarium_center_to_east","Todo: insert a description for this projector puzzle beam End point endPoint_x793_y2147_h169","projectorpuzzle_terrarium_center_to_east.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#51","Unlocks","projectorpuzzle_terrarium_east_to_center","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_terrarium_east_to_center.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#51 S","Description","projectorpuzzle_terrarium_east_to_center","Todo: insert a description for this projector puzzle beam Start point startPoint_x793_y2108_h196","projectorpuzzle_terrarium_east_to_center.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#51 E","Description","projectorpuzzle_terrarium_east_to_center","Todo: insert a description for this projector puzzle beam End point endPoint_x792_y1936_h178","projectorpuzzle_terrarium_east_to_center.endPoint.description"
"projector_puzzles.ts","Projector Puzzles","#52","Unlocks","projectorpuzzle_terrarium_entry","Todo: specify the unlocks of this radiant projector puzzle","projectorpuzzle_terrarium_entry.unlocks.0"
"projector_puzzles.ts","Projector Puzzles","#52","Description","projectorpuzzle_terrarium_entry","Todo: describe this beam point. Also used for the puzzle on the tower's upper story, lowers upon completion.","projectorpuzzle_terrarium_entry.startPoint.description"
"projector_puzzles.ts","Projector Puzzles","#52 E","Description","projectorpuzzle_terrarium_entry","Todo: insert a description for this projector puzzle beam End point endPoint_x885_y1596_h37","projectorpuzzle_terrarium_entry.endPoint.description"
"nullifier_doors.ts","Nullifier Doors","#59","Description","nullifierdoor_x409_y728","Todo: insert a description for this nullifier door x409_y728","nullifierdoor_x409_y728.description"
"nullifier_doors.ts","Nullifier Doors","#60","Description","nullifierdoor_x431_y941","Todo: insert a description for this nullifier door x431_y941","nullifierdoor_x431_y941.description"
"nullifier_doors.ts","Nullifier Doors","#61","Description","nullifierdoor_x593_y996","Todo: insert a description for this nullifier door x593_y996","nullifierdoor_x593_y996.description"
"nullifier_doors.ts","Nullifier Doors","#62","Description","nullifierdoor_x740_y2113","Todo: insert a description for this nullifier door x740_y2113","nullifierdoor_x740_y2113.description"
"nullifier_doors.ts","Nullifier Doors","#63","Description","nullifierdoor_x786_y1875","Todo: insert a description for this nullifier door x786_y1875","nullifierdoor_x786_y1875.description"
"nullifier_doors.ts","Nullifier Doors","#64","Description","nullifierdoor_x800_y2039","Todo: insert a description for this nullifier door x800_y2039","nullifierdoor_x800_y2039.description"
"nullifier_doors.ts","Nullifier Doors","#65","Description","nullifierdoor_x891_y1909","Todo: insert a description for this nullifier door x891_y1909","nullifierdoor_x891_y1909.description"
"nullifier_doors.ts","Nullifier Doors","#66","Description","nullifierdoor_x931_y1468","Todo: insert a description for this nullifier door x931_y1468","nullifierdoor_x931_y1468.description"
"nullifier_doors.ts","Nullifier Doors","#67","Description","nullifierdoor_x987_y842","Todo: insert a description for this nullifier door x987_y842","nullifierdoor_x987_y842.description"
"nullifier_doors.ts","Nullifier Doors","#68","Description","nullifierdoor_x989_y834","Todo: insert a description for this nullifier door x989_y834","nullifierdoor_x989_y834.description"
"nullifier_doors.ts","Nullifier Doors","#69","Description","nullifierdoor_x990_y1844","Todo: insert a description for this nullifier door x990_y1844","nullifierdoor_x990_y1844.description"
"nullifier_doors.ts","Nullifier Doors","#53","Description","nullifierdoor_x1020_y1954","Todo: insert a description for this nullifier door x1020_y1954","nullifierdoor_x1020_y1954.description"
"nullifier_doors.ts","Nullifier Doors","#54","Description","nullifierdoor_x1082_y1870","Todo: insert a description for this nullifier door x1082_y1870","nullifierdoor_x1082_y1870.description"
"nullifier_doors.ts","Nullifier Doors","#55","Description","nullifierdoor_x1323_y1316","Todo: insert a description for this nullifier door x1323_y1316","nullifierdoor_x1323_y1316.description"
"nullifier_doors.ts","Nullifier Doors","#56","Description","nullifierdoor_x1356_y1111","Todo: insert a description for this nullifier door x1356_y1111","nullifierdoor_x1356_y1111.description"
"nullifier_doors.ts","Nullifier Doors","#57","Description","nullifierdoor_x1357_y1001","Todo: insert a description for this nullifier door x1357_y1001","nullifierdoor_x1357_y1001.description"
"nullifier_doors.ts","Nullifier Doors","#58","Description","nullifierdoor_x1488_y1354","Todo: insert a description for this nullifier door x1488_y1354","nullifierdoor_x1488_y1354.description"
"locked_doors.ts","Locked Doors","#83","Unlocks","lockeddoor_zonegorgeweather_puzzlelock0039039033","Todo: specify puzzle door unlocks","lockeddoor_zonegorgeweather_puzzlelock0039039033.unlocks"
"locked_doors.ts","Locked Doors","#83","Description","lockeddoor_zonegorgeweather_puzzlelock0039039033","Todo: insert a description for this puzzle door puzzlelock0039039033","lockeddoor_zonegorgeweather_puzzlelock0039039033.description"
"locked_doors.ts","Locked Doors","#76","Unlocks","lockeddoor_environmentstrand_puzzlelock0133494774","Todo: specify puzzle door unlocks","lockeddoor_environmentstrand_puzzlelock0133494774.unlocks"
"locked_doors.ts","Locked Doors","#76","Description","lockeddoor_environmentstrand_puzzlelock0133494774","Todo: insert a description for this puzzle door puzzlelock0133494774","lockeddoor_environmentstrand_puzzlelock0133494774.description"
"locked_doors.ts","Locked Doors","#75","Unlocks","lockeddoor_environmentgorge_puzzlelock0136459905","Todo: specify puzzle door unlocks","lockeddoor_environmentgorge_puzzlelock0136459905.unlocks"
"locked_doors.ts","Locked Doors","#75","Description","lockeddoor_environmentgorge_puzzlelock0136459905","Todo: insert a description for this puzzle door puzzlelock0136459905","lockeddoor_environmentgorge_puzzlelock0136459905.description"
"locked_doors.ts","Locked Doors","#100","Unlocks","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0149444268","Todo: specify puzzle door unlocks","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0149444268.unlocks"
"locked_doors.ts","Locked Doors","#100","Description","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0149444268","Todo: insert a description for this puzzle door puzzlelock0149444268","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0149444268.description"
"locked_doors.ts","Locked Doors","#101","Unlocks","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0312054777","Todo: specify puzzle door unlocks","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0312054777.unlocks"
"locked_doors.ts","Locked Doors","#101","Description","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0312054777","Todo: insert a description for this puzzle door puzzlelock0312054777","lockeddoor_zonelabyrinthdreamlanddesign_puzzlelock0312054777.description"
"locked_doors.ts","Locked Doors","#105","Unlocks","lockeddoor_zonelabyrinthhubb_puzzlelock0425896758","Todo: specify puzzle door unlocks","lockeddoor_zonelabyrinthhubb_puzzlelock0425896758.unlocks"
"locked_doors.ts","Locked Doors","#105","Description","lockeddoor_zonelabyrinthhubb_puzzlelock0425896758","Todo: insert a description for this puzzle door puzzlelock0425896758","lockeddoor_zonelabyrinthhubb_puzzlelock0425896758.description"
"locked_doors.ts","Locked Doors","#79","Unlocks","lockeddoor_zoneconservatoryarboretum_puzzlelock0438051759","Todo: specify puzzle door unlocks","lockeddoor_zoneconservatoryarboretum_puzzlelock0438051759.unlocks"
"locked_doors.ts","Locked Doors","#79","Description","lockeddoor_zoneconservatoryarboretum_puzzlelock0438051759","Todo: insert a description for this puzzle door puzzlelock0438051759","lockeddoor_zoneconservatoryarboretum_puzzlelock0438051759.description"
"locked_doors.ts","Locked Doors","#84","Unlocks","lockeddoor_zonelabstrandentrance_puzzlelock0469363929","Todo: specify puzzle door unlocks","lockeddoor_zonelabstrandentrance_puzzlelock0469363929.unlocks"
"locked_doors.ts","Locked Doors","#84","Description","lockeddoor_zonelabstrandentrance_puzzlelock0469363929","Todo: insert a description for this puzzle door puzzlelock0469363929","lockeddoor_zonelabstrandentrance_puzzlelock0469363929.description"
"locked_doors.ts","Locked Doors","#77","Unlocks","lockeddoor_environmentstrand_puzzlelock0472447112","Todo: specify puzzle door unlocks","lockeddoor_environmentstrand_puzzlelock0472447112.unlocks"
"locked_doors.ts","Locked Doors","#77","Description","lockeddoor_environmentstrand_puzzlelock0472447112","Todo: insert a description for this puzzle door puzzlelock0472447112","lockeddoor_environmentstrand_puzzlelock0472447112.description"
"locked_doors.ts","Locked Doors","#106","Unlocks","lockeddoor_zonelabyrinthhubb_puzzlelock0544941896","Todo: specify puzzle door unlocks","lockeddoor_zonelabyrinthhubb_puzzlelock0544941896.unlocks"
"locked_doors.ts","Locked Doors","#106","Description","lockeddoor_zonelabyrinthhubb_puzzlelock0544941896","Todo: insert a description for this puzzle door puzzlelock0544941896","lockeddoor_zonelabyrinthhubb_puzzlelock0544941896.description"
"locked_doors.ts","Locked Doors","#81","Unlocks","lockeddoor_zonegorgenavigation_puzzlelock0554385439","Todo: specify puzzle door unlocks","lockeddoor_zonegorgenavigation_puzzlelock0554385439.unlocks"
"locked_doors.ts","Locked Doors","#81","Description","lockeddoor_zonegorgenavigation_puzzlelock0554385439","Todo: insert a description for this puzzle door puzzlelock0554385439","lockeddoor_zonegorgenavigation_puzzlelock0554385439.description"
"locked_doors.ts","Locked Doors","#85","Unlocks","lockeddoor_zonelabstrandentrancedesign_puzzlelock0613399195","Todo: specify puzzle door unlocks","lockeddoor_zonelabstrandentrancedesign_puzzlelock0613399195.unlocks"
